sex,carrier_frequency_per_100k,patient_frequency_per_100k,overall_penetrance_percent,carrier_one_in_x,patient_one_in_x
Male,109.89,5.09896940846221,4.640066801767413,910.00091000091,19611.806227752764
Female,109.89,0.26176124495486963,0.23820297111190247,910.00091000091,382027.522894923
