11778G>A_female_None_[],11778G>A_male_None_[],11778G>A_male_J_['smoking_heavy'],14484T>C_male_J_[],14484T>C_male_non_J_[],3460G>A_male_None_[]
0.04748805505594912,0.3039753125189211,1.0,0.0974676849277355,0.00031641696374425663,1.0
0.028566721968140953,0.16134517290628658,0.7040086918519148,0.6906785958504486,0.0010951016928081646,0.9028911541434617
0.022375436390984434,0.2019851048164632,1.0,0.06643587802637617,9.646135194185382e-05,1.0
0.02927861182828013,0.18181235186494665,1.0,0.7458241907150555,0.0006415780792610733,0.9533638796099839
0.02404263032328082,0.1813888444475677,0.7846368785564657,0.803108190002891,0.0009186201259407008,0.870052681064204
0.05334002137891692,0.3629462623874304,1.0,0.032095941345641664,5.699398523583016e-05,0.9822568848672109
0.02496746437952969,0.18386217997312762,0.5966934378443176,1.0,0.0021436252426814146,0.9612277730841068
0.02064920259459419,0.15457648545783712,0.5165010357589932,0.19946159689451118,0.0002769839896432803,0.9548218316240039
0.03011588846013877,0.170135744694445,0.8153085414530513,1.0,0.004168984288724963,0.6537921228874813
0.017820296435667484,0.0929170922629725,0.3530625724837384,0.5524367924505772,0.0005974220740888856,0.7694574222612877
0.0190912095504157,0.22555471841212207,1.0,0.5966229163002819,0.0015175336311882299,1.0
0.016180500460480255,0.16707853778498452,0.7077441648925954,0.495001864772076,0.0004885128480208732,1.0
0.019863748802736385,0.12103048986227895,0.5065516767628222,1.0,0.0018258279282066699,1.0
0.0420753674713594,0.2860801912518989,1.0,0.3077751169573498,0.00043740733581437046,0.6832390692209536
0.02709359897536668,0.16385999355021472,0.6157106418492653,0.27492382225918083,0.0003150342666078797,0.8321414712565619
0.053027097705511256,0.4562795440445985,1.0,1.0,0.0037333282358713014,0.9478760198740848
0.024825872494772038,0.1650791654528841,0.5901595808760197,0.740452658340353,0.001461949447595939,1.0
0.03275352929670282,0.198742261551895,0.8360477907823127,1.0,0.001982951112349112,0.4773948477158881
0.019258550355199612,0.19051436099477306,0.47632116603102875,1.0,0.0021558819753538724,1.0
0.025790747760876125,0.16792360774186654,0.8350217956380809,0.3963711217324208,0.0011136108923091462,0.9503198756808138
0.06241670412548994,0.5733196015232611,1.0,0.1384596669665574,0.00020470146800500392,1.0
0.051225512620662675,0.4360077071806614,1.0,1.0,0.004590219529771001,0.9371060367208689
0.02481206782342011,0.16156843666131016,0.9915526029309546,1.0,0.010247725854611539,0.5677000346257658
0.03228551160594416,0.2893806620187112,1.0,1.0,0.008314208834849469,0.8291748465450383
0.04012426460493619,0.37430076364919423,1.0,0.9594136264459315,0.0016639049386058572,1.0
0.037021047141720095,0.3124738423018026,1.0,1.0,0.010864685654188104,0.9944210113977134
0.037629462767201756,0.2259835454548323,1.0,0.15373014933535215,0.00020062586104792248,1.0
0.0194695317814303,0.21450082861072792,0.6406293780514448,1.0,0.0019176535278494671,1.0
0.010029611991773863,0.09581084521037908,0.539093767349177,1.0,0.012077416418762489,1.0
0.06569533927107479,0.42688605732028545,1.0,0.6875921220904938,0.0010117801725818387,0.8912022265206548
0.03727109821908443,0.3613955245336683,1.0,1.0,0.0029863930966750082,1.0
0.050148690646915815,0.33785380835439816,1.0,0.20678841756308827,0.00027307044155631304,1.0
0.08562414230035151,0.6599033525941107,1.0,0.321541917915164,0.0003668341509285172,1.0
0.020371650961055327,0.1417748799919491,0.4070361430175528,0.935232316364603,0.002332777643125892,0.9089740179120658
0.08450346536846602,0.4699771064281275,1.0,1.0,0.0015140175611694678,0.693648784044318
0.029876441208389042,0.18260079923656444,0.4624637190784489,0.6056671554002169,0.0014253684705604743,0.893151690116907
0.0705747713639154,0.43899788033532366,1.0,0.04990130739153808,0.0001376084090886683,1.0
0.050502578677500576,0.3423169397522141,1.0,0.4710556874512447,0.0004424651716147607,1.0
0.05170424135781595,0.2124806851754554,0.8686457101125787,0.9575473376567254,0.0009535195954363083,0.45677614011533685
0.010377020198170953,0.08202768764308689,0.4086921345960345,0.5494922320548277,0.0011216132298554476,1.0
0.04956742786747825,0.4834089508874656,1.0,0.21789179138881434,0.00038103175894239113,1.0
0.027881948477410094,0.13636339319575028,0.5089299012891798,0.9979961314962077,0.0005914704891044556,0.9049739691879415
0.044232650384147365,0.29029303607876733,1.0,1.0,0.004940745400223308,1.0
0.04648750808644952,0.3131589502633957,0.9244986716783811,0.065237096033281,7.402915964328545e-05,1.0
0.05762587678982372,0.48424309359861406,1.0,1.0,0.003422129154289083,1.0
0.01993865550156193,0.2065551564455361,1.0,1.0,0.008126474650071602,1.0
0.021543614718918584,0.13632225370848944,0.35301261063638034,0.22259135034017838,0.0002021142911830545,0.8894942615643071
0.03387337740377601,0.22996904578131896,1.0,0.7119361370279808,0.0005554545258483601,0.9041820019096801
0.03591297229586673,0.2633827096056661,1.0,0.8267308236352421,0.0016180598623758383,1.0
0.0340518551902096,0.18270711756297062,0.5359715033495782,1.0,0.0010491694425488784,0.7046514221587924
0.05039512547915488,0.34225411491442104,1.0,0.32172587821728715,0.0005280885630234405,0.9365366006347727
0.06647555654380678,0.4257242980311259,1.0,0.009855106856196106,2.7311325733935792e-05,1.0
0.013774673206454396,0.09733340255447478,0.35923011196488025,1.0,0.001981172111910936,0.7778872370759896
0.013961199022023614,0.10322935686185007,0.3319106762938813,1.0,0.009236457172819516,0.9621154658583978
0.05651197846795686,0.4721390394733069,1.0,0.3013935995430304,0.0003188333608817078,1.0
0.02884891216999079,0.22638523093649485,0.9090974859748294,0.7844790578915902,0.0007574412555171918,0.7663271995625894
0.026836151003046073,0.18900986507427886,0.914591280695894,0.8830191468839323,0.0008820282291920267,0.8569058192928714
0.06872159062678866,0.5272133144597301,1.0,1.0,0.005078536471582978,0.9791866662707694
0.052078581112687414,0.35481677226632824,1.0,0.3500852240527019,0.0004730014626218344,0.927808468588229
0.04315387067453528,0.40980028733452933,1.0,0.07548952920949964,0.00021742526750963322,1.0
0.03860984303064541,0.23944485278018526,1.0,1.0,0.0034998832848536277,0.770991470043701
0.0762524237088667,0.5384068319815334,1.0,0.38063565504589175,0.0008592850434249481,0.8152808465377295
0.05923607071479351,0.3736232823954323,1.0,1.0,0.0016065724824217322,1.0
0.026327938526762164,0.16559999014775773,0.6279436407174833,0.4246214176474588,0.0004922814676260299,1.0
0.04169491577441559,0.23977862027755903,1.0,1.0,0.0007392038128263064,0.584842919754072
0.02448581974127394,0.20514003509828194,1.0,1.0,0.0008612191922828303,1.0
0.0641401198681697,0.49405888613097976,1.0,1.0,0.004813386237675981,0.8293663268582069
0.045465132693771566,0.295645540568333,1.0,1.0,0.0027013784837021165,0.8524127056440592
0.04226995741208679,0.20004269179566325,0.846140834249171,0.02268795348168824,6.413062999608665e-05,0.5807193172619338
0.008370071414197077,0.06777577946098667,0.3275743333286165,0.08150385995945346,0.0001907137876864957,0.7403339653037917
0.026037344148795948,0.19538421165569708,0.8102328896906975,0.07204487621255645,6.879287730814754e-05,1.0
0.04343822079483895,0.44276096738970216,1.0,0.0326186939120133,9.905437356512965e-05,1.0
0.05048268893651739,0.38666512417112675,1.0,0.1125149053778009,0.00020513516669097323,1.0
0.033542123770975436,0.1585321394096745,0.6001543222060638,0.5683927249188251,0.0008518407763204927,0.7746276549845968
0.02086048155991177,0.21309856459951754,1.0,0.6603301128220318,0.0006436134978894766,1.0
0.024365995733089358,0.18023705259515463,0.5192935916014895,1.0,0.004366600832269301,0.909736909230281
0.05241227377441635,0.46352126377144387,1.0,1.0,0.013676382999905408,0.8682988592147739
0.012804911781119121,0.09034443127731168,0.21638646922446855,0.09219077198820565,8.466412552490272e-05,1.0
0.03500335589264786,0.2411936417762735,1.0,0.21115961400576144,0.00025726210890914214,1.0
0.01856338276839278,0.14519844329702103,0.32883979223464604,0.5030131748380626,0.0007847165974235299,1.0
0.055851015798842794,0.42697312903927215,1.0,0.3428514305900576,0.0003885862525814266,1.0
0.032911117379851966,0.25078862527620555,0.7415252733327601,1.0,0.005771436670837846,0.945120030946252
0.04034121627139779,0.31999939782775794,1.0,1.0,0.0028918983968981957,1.0
0.05583267568707269,0.3156368831799861,1.0,1.0,0.004020940206276685,0.8717991955092502
0.07126023762979425,0.5190191240835071,1.0,0.7011378164954231,0.0021856222989592444,1.0
0.01948791408560118,0.12984357413478323,0.4680910333902037,0.32891123856620913,0.0008037120690286434,1.0
0.013446900916006334,0.09206285686870885,0.4483723679524695,1.0,0.002377003568797626,0.8551997933657658
0.025277175656025042,0.17182516106504153,0.5619542642969619,1.0,0.0014439949209498,0.6869639907923063
0.04832667481597775,0.43734248416883953,1.0,1.0,0.0017112694182910056,1.0
0.053361330491607566,0.48693809202182137,1.0,1.0,0.006902254457182297,1.0
0.017061328769313152,0.16242484322058245,0.41849277431816123,0.20115882542279054,0.00027594945575303335,1.0
0.04868212906659198,0.28255208373619733,0.9617353599121524,1.0,0.0020669818243567862,1.0
0.03668643688143463,0.2997380550665947,1.0,1.0,0.002939812041479431,0.9447705657330243
0.041439029892797526,0.37726356953557655,1.0,1.0,0.0031130446044910854,0.9379598670629188
0.042786128500391304,0.24557375400590364,0.7254875337668051,1.0,0.0023082922200842026,0.8392690538353912
0.03598750254110139,0.2508602571640809,1.0,0.6730678871597948,0.0011885493081758786,1.0
0.031008710144591684,0.36095233312607355,1.0,1.0,0.01359407826494062,1.0
0.006654314960131218,0.03187029679220366,0.13267934029762038,0.0961768872161839,0.0001006061875238477,0.7382387766948343
0.018028439683927283,0.13617525286290053,0.46765552646284503,1.0,0.01007307343356233,0.9430611333870685
0.0135779345032543,0.11236800995429298,0.45303978178670995,0.9304614016769084,0.0015508276633527688,1.0
0.038673572157753446,0.21659878597033277,0.9956951264739413,0.1855014199216544,0.00039134763325802426,0.6034974689013278
0.008556525578851469,0.05518075105091238,0.2439212694485015,1.0,0.0031107419919919094,1.0
0.0564419639136918,0.4207788714890366,1.0,1.0,0.0014134674394540288,0.8948360267313294
0.024497664543284614,0.1497131326969505,0.40476118509609527,0.28281327521091193,0.00033672889491657276,0.9026077459053549
0.021145897801493792,0.1267480003711195,0.6178495215733779,1.0,0.005018280444940759,0.9625308038045154
0.030604167892528275,0.19364429814915488,0.9500611981605714,1.0,0.0018188690738393202,0.7523255852533461
0.03221284918441974,0.2304337563018142,0.6406133598012769,1.0,0.001510773858577512,0.9704133929480634
0.08633798180941102,0.4805408361056364,1.0,1.0,0.0012883149985912082,0.8459057292330965
0.025160671945806703,0.13386248867197317,0.37997323792031035,0.15471873093934488,0.00031953339411305317,0.6835692961671185
0.029317883171084927,0.2683297786709099,1.0,1.0,0.002781579747667132,0.9256727224638067
0.027279433608050165,0.24245490275911552,0.9081574773356355,1.0,0.0020516889391417946,0.9717151337230713
0.004866787256338373,0.05013677523883061,0.1918351830136779,1.0,0.0017593339035903723,1.0
0.026299108943455343,0.22989670316782954,0.8651151943312114,0.9133957648974637,0.0010238902984755565,0.98471304937914
0.02924037995923919,0.22833360156469779,1.0,0.1712767952909851,0.00019668835610304257,1.0
0.03959936162971657,0.2534330371903896,1.0,0.22879838543557598,0.0005519378477068798,0.7829545246605246
0.014003364891112133,0.08956721584580131,0.281230388077954,0.7701373334284055,0.0020554057568174457,1.0
0.012509117825031772,0.09169090121421715,0.29867607886324987,0.22548483797890412,0.0005281622203184868,0.9310649389872839
0.004742079122424767,0.029629932424808145,0.09195987048843458,0.7426983681244166,0.0016393176189456625,0.9249015042997265
0.03357344168034726,0.20603908466742368,1.0,1.0,0.003945671802069915,0.9530426064214571
0.021597288807946587,0.14041546756208992,0.8594522585996011,0.5206127863472316,0.00046577410441853764,1.0
0.050654014492074614,0.3248544763092896,1.0,1.0,0.003764186224329059,1.0
0.01988165256347584,0.17924915741178532,1.0,1.0,0.008777845391626087,0.9127651562831229
0.04207055252949583,0.38840330994123035,1.0,1.0,0.003983812713986972,1.0
0.02991142676926762,0.2305548593110777,0.8656313562335646,1.0,0.0014252653357499261,1.0
0.01679421313550441,0.1462102734783317,0.418958171362146,0.48914543135069716,0.0005184206470680847,1.0
0.03760370568031659,0.33362612459005514,1.0,0.8387392582994787,0.0007524014988163346,1.0
0.028037368387214292,0.17941281200796766,0.996543796946705,0.4258157923354501,0.0006525063547434921,0.960713754403438
0.037306009297094087,0.2597622581417238,1.0,0.9817685860943556,0.0007525726375052816,1.0
0.021582870055543546,0.14302215894572237,0.6249374977036062,1.0,0.002051998892528054,1.0
0.07325810251937327,0.5254271703013168,1.0,0.17705081783498866,0.00022012908335308754,1.0
0.02823117819050299,0.17557164296852382,0.6144133946516804,0.24478232823645016,0.0002859632056259964,0.538342413459505
0.06472231767553598,0.6730680667845418,1.0,0.09857763382698755,0.0002879487869890564,1.0
0.014411317622529307,0.09060972204943997,0.3165503341469809,0.4010556378485095,0.0016117710956048141,0.7484629693757738
0.021573570685029582,0.15039326102047818,0.6720475503627348,0.14933323252890582,0.000182117712452136,0.9573910264522345
0.05571025253638974,0.3481218475611937,1.0,1.0,0.004249016035937772,0.8454885831868575
0.019093819292195207,0.17935372787622586,0.7089709571702553,1.0,0.0029333607015275065,0.8757393717834588
0.03185052813758655,0.1776231820451164,0.7247445763931473,0.94304749028914,0.0006711839992193644,0.9335076981974457
0.06954699589777723,0.42055878346391484,1.0,1.0,0.002161326099800614,0.645298287672948
0.047892560072592884,0.3171785794173588,1.0,0.09034950262441822,6.886886849764558e-05,0.9943339420208577
0.051524003262872244,0.25552965740221095,0.8307734451856188,0.7044413077558527,0.00131673420538166,0.8111978101584395
0.03550096221497161,0.4025803726800749,1.0,0.9969381542699672,0.0025263846814145784,0.9850520387770122
0.04698878993926342,0.3553209313466285,1.0,0.3775654917581837,0.0006142618027614307,1.0
0.051400342257201345,0.30877058474280833,1.0,0.2789791306963684,0.0011121553099525468,1.0
0.1116680810555702,0.8940346184456377,1.0,1.0,0.002089636841205728,1.0
0.038001550450029425,0.2356475611049178,1.0,1.0,0.0022485309994219947,0.7747251079328892
0.04538060035732175,0.31230290301660024,0.9664060656673814,1.0,0.0023137046038893766,0.9307346093958353
0.02471703614077676,0.17584656013395855,0.4164100721163515,0.07910892590982803,0.00015925042023729027,0.984788968041717
0.02227620122762977,0.20791989015980614,0.4297289630848498,0.8117231038623915,0.001014666789299514,1.0
0.07124423074838303,0.5132021010759004,1.0,0.28498192531247685,0.0005527265366740532,1.0
0.03171890469845964,0.17230065154398255,0.5318920974982191,1.0,0.0019726775096256337,0.9708256840843144
0.04120026345246575,0.2488041640865646,1.0,0.45957951476708525,0.0008576696203483877,1.0
0.03272842337380505,0.2102123312235199,0.7955696104489076,1.0,0.0058165679232276305,0.7690148558320489
0.04203975488455203,0.2749324025413245,0.9811928029210388,0.5133845345382024,0.0012751411246229238,1.0
0.0740086200619395,0.5026850518305765,1.0,0.6239955145026941,0.0009408070850430617,1.0
0.09205334151585758,0.891927160788414,1.0,1.0,0.007869873993618109,1.0
0.024703050599564846,0.18183457019463167,0.7920006539219597,1.0,0.0010043457713642685,1.0
0.01543310835595239,0.11086825606441163,0.29567361932696123,0.31730545056545867,0.0005245517630270751,0.916757812335409
0.03011325834939784,0.20431518448099112,1.0,1.0,0.0029522741641008223,1.0
0.030800849635050916,0.15818743828634568,0.5968247744677907,1.0,0.0016770087890766938,0.6808905341655395
0.07172272742641807,0.3704376151010602,1.0,0.3372896026138292,0.000913798388115445,0.6065893571374441
0.0432865974082279,0.2400099825775593,1.0,1.0,0.0025707412923486905,0.8744064774239649
0.04635990362935157,0.30004388700903883,1.0,0.01081942597366501,1.532507803203436e-05,0.612108358422566
0.09098805280010579,0.7276184359106713,1.0,0.3723900692771712,0.0013665913240020863,0.7189761794949379
0.05981588558440988,0.6314770705446202,1.0,0.2750035696852019,0.00035769732079021137,1.0
0.02576002089386111,0.1405023161668997,0.7276449158727946,0.6280230224862722,0.003164545748065201,0.6552842750608182
0.042691890712139795,0.3253971803795802,1.0,1.0,0.003055456690285046,0.6373066849054442
0.0223590949612675,0.1250956617157534,0.4718035605989045,1.0,0.0019461876737659103,1.0
0.0281525556107435,0.22797372891278536,0.6678744683898773,0.10271443288871447,0.0002318438307800762,0.8640174880163163
0.029466344235394192,0.25203887645615836,1.0,0.5896158638365965,0.0010681710546509,1.0
0.01788682984595589,0.11991384583145547,0.4174252757837448,1.0,0.005308903207653043,0.7286190308171068
0.05277312366563795,0.49514759838311617,1.0,0.1310329915390301,0.0001269496721946303,1.0
0.032093260161772774,0.18572628177132994,0.44002702562389473,1.0,0.001362207681241362,0.7191947433979268
0.022698690111850963,0.1565088576095418,1.0,0.3602372335169839,0.0005909480820658316,0.7679706528510407
0.017658879464754328,0.11990033351866379,0.41117129602332536,1.0,0.0011997062274759667,1.0
0.013020832676597567,0.10020719248196078,0.34263632089797513,1.0,0.0006205380383392731,1.0
0.05999337050896132,0.4762922152527577,1.0,0.3054943514057433,0.00081260765148761,1.0
0.05333150806649307,0.4124520850162147,1.0,1.0,0.002069096726690161,0.7252108291457369
0.03583805198955092,0.23042317814838822,1.0,1.0,0.0025453113802348893,1.0
0.025826097603384186,0.2010179176800074,0.9169454965510073,0.12019263094022799,0.00012941862223288643,0.9595409680453398
0.017893583998377288,0.13519364738187645,0.6790463956798519,1.0,0.0008993829630651756,1.0
0.015867364948356066,0.07912792589972821,0.2724116205746491,0.5995360746261497,0.0008272906355716078,0.7484934710061254
0.024819976727983487,0.20669111177737212,1.0,1.0,0.0027203450809729066,1.0
0.03303675352934129,0.28721468688282403,1.0,1.0,0.0022811423334791418,1.0
0.07417845774309863,0.4206488238057926,1.0,1.0,0.0030167255494019836,0.7237789061845935
0.047677025540566936,0.34622947463719644,0.7866414638584955,0.34667841211745337,0.0003519710685931537,0.8981357369504914
0.03634685912323247,0.27936882801907414,1.0,1.0,0.0065980771532835655,1.0
0.03609655772417706,0.24995536192072187,0.8341632675881121,0.21272957691520072,0.00025603548113188585,1.0
0.038929390606576283,0.3535290033526103,1.0,1.0,0.0030633277844534477,1.0
0.03428210055187552,0.25326426565434185,0.8693231797323016,1.0,0.003570199397884433,0.8721520024065036
0.02780907430190952,0.12719882501606933,0.8540333844644563,0.36793978527141186,0.0005597428165357538,0.4946459864110795
0.0844305428834153,0.47750717031759127,1.0,0.17153744392329842,0.00010959474898533261,1.0
0.023723004560908485,0.20361065043764223,0.7258745377695127,1.0,0.0034591442999084153,1.0
0.06318257957535033,0.5660644178485938,1.0,1.0,0.0015847984796961612,0.8658039497042358
0.06306243679996616,0.34110828508906227,1.0,1.0,0.0018067299519998964,0.5706400858300286
0.05138991451075945,0.28539535167312174,1.0,0.6199437455451714,0.0009832266551787242,0.6740422242150721
0.02705725332532532,0.1832115073919169,1.0,0.055663826117424514,0.00018875143520223744,1.0
0.047093397756512945,0.4642506947334876,1.0,0.05942775891605479,0.00010415854852015081,1.0
0.01779486021316363,0.1870252050428041,0.5983810682784095,1.0,0.007891013349721513,1.0
0.08468879955509295,0.8665114907549545,1.0,1.0,0.0009483137104029919,1.0
0.06043379973751761,0.39146248094215336,1.0,0.1445336850447607,0.00024824679180568713,0.9916130287348919
0.043818850471399676,0.380226860746233,1.0,1.0,0.002666152657570354,1.0
0.046782739741250474,0.3210708249097893,0.7951732676045171,1.0,0.0077031685630965276,0.9652467770330322
0.033129049252996985,0.20228457341556755,0.5838617140714705,1.0,0.007110856828503614,0.8284354776917868
0.041916226698534495,0.2773414263627236,1.0,1.0,0.0037838446250095387,0.9787925506842533
0.04834664554312455,0.21604955468445627,1.0,0.12682094950342793,0.0001365681733259433,0.6268458093367087
0.03925849576098452,0.35818458720431906,1.0,1.0,0.005837302088909455,1.0
0.014470556644329047,0.11742066704497096,0.6736188651452699,0.2594686899324209,0.00031904408946345,0.917701949023581
0.021814043200318444,0.13435323471710345,0.5839916645282303,1.0,0.0033844965754097735,0.6288624424439087
0.02655174379224081,0.203494923847827,0.7284263857042448,0.14958100292137413,0.0005819779890987049,1.0
